entity,entity_code,is_aggregate_entity,date,demand_twh,demand_kwh_per_capita,demand_yoy_change_twh,demand_yoy_change_pct,demand_yoy_change_kwh_per_capita
"Portugal","PRT",false,"2020",52.85,5096.18,-2.15,-3.91,-207.32
"Portugal","PRT",false,"2021",53.97,5193.94,1.12,2.12,107.79
"Portugal","PRT",false,"2022",55.58,5335.47,1.61,2.98,154.55
"Portugal","PRT",false,"2023",56.42,5409.01,0.84,1.51,80.53
"Portugal","PRT",false,"2024",57.15,5481.86,0.73,1.29,70.02
"Switzerland","CHE",false,"2020",62.93,7283.07,-1.38,-2.15,-159.71
"Switzerland","CHE",false,"2021",65.5,7522.66,2.57,4.08,295.16
"Switzerland","CHE",false,"2022",64.87,7378.15,-0.63,-0.96,-71.65
"Switzerland","CHE",false,"2023",63.86,7199.09,-1.01,-1.56,-113.86
"Switzerland","CHE",false,"2024",65.22,7310.04,1.36,2.13,152.43
"Chile","CHL",false,"2020",83.58,4314.78,-0.4,-0.48,-20.65
"Chile","CHL",false,"2021",87.13,4478.23,3.55,4.25,182.46
"Chile","CHL",false,"2022",91.04,4656.05,3.91,4.49,199.97
"Chile","CHL",false,"2023",87.67,4459.57,-3.37,-3.7,-171.42
"Chile","CHL",false,"2024",89.26,4516.12,1.59,1.81,80.45
"Costa Rica","CRI",false,"2020",11.21,2226.72,-0.23,-2.01,-45.69
"Costa Rica","CRI",false,"2021",11.73,2318.19,0.52,4.64,102.77
"Costa Rica","CRI",false,"2022",11.72,2306.29,-0.01,-0.09,-1.97
"Costa Rica","CRI",false,"2023",10.99,2152.57,-0.73,-6.23,-142.98
"Costa Rica","CRI",false,"2024",11.53,2247.6,0.54,4.91,105.27
"Dominican Republic","DOM",false,"2020",19.49,1770.48,-1.79,-8.41,-162.6
"Dominican Republic","DOM",false,"2021",21.43,1926.56,1.94,9.95,174.41
"Dominican Republic","DOM",false,"2022",22.17,1974.05,0.74,3.45,65.89
"Dominican Republic","DOM",false,"2023",24.56,2167.45,2.39,10.78,210.92
"Dominican Republic","DOM",false,"2024",25.92,2268.2,1.36,5.54,119.01
"Morocco","MAR",false,"2020",39.03,1066.85,-0.42,-1.06,-11.48
"Morocco","MAR",false,"2021",41.14,1113.26,2.11,5.41,57.1
"Morocco","MAR",false,"2022",42.81,1146.83,1.67,4.06,44.74
"Morocco","MAR",false,"2023",44.31,1174.94,1.5,3.5,39.77
"Morocco","MAR",false,"2024",46.43,1219.24,2.12,4.78,55.67
"China","CHN",false,"2020",7762.03,5442.81,275.4,3.68,193.11
"China","CHN",false,"2021",8520.02,5972.94,757.99,9.77,531.39
"China","CHN",false,"2022",8835.76,6199.75,315.74,3.71,221.54
"China","CHN",false,"2023",9443.07,6637.97,607.31,6.87,426.91
"China","CHN",false,"2024",10072.95,7097.02,629.88,6.67,443.79
"Egypt","EGY",false,"2020",197.18,1803.78,-2.6,-1.3,-23.78
"Egypt","EGY",false,"2021",208.19,1876.31,11.01,5.58,99.23
"Egypt","EGY",false,"2022",215.15,1910.44,6.96,3.34,61.8
"Egypt","EGY",false,"2023",220.32,1923.59,5.17,2.4,45.14
"Egypt","EGY",false,"2024",235.79,2023.28,15.47,7.02,132.75
"Singapore","SGP",false,"2020",53.07,9442.81,-1.07,-1.98,-190.39
"Singapore","SGP",false,"2021",55.79,10058.98,2.72,5.13,490.42
"Singapore","SGP",false,"2022",57.1,10106.4,1.31,2.35,231.86
"Singapore","SGP",false,"2023",57.4,9915.2,0.3,0.53,51.82
