dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,86.40088820457458,1.5168161392211914,7336.544,137.883,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,85.32400465011597,1.5259532928466797,7992.559,144.335,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,86.0439944267273,1.5301361083984375,7354.826,149.462,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,81.93200421333313,1.7779624462127686,7873.268,152.276,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,81.53941226005554,1.9392364025115967,8103.341,203.427,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,81.22028660774231,1.777602195739746,8359.597,187.118,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,84.40655970573425,1.4903569221496582,8793.068,156.922,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,84.26097130775452,1.5022714138031006,8800.605,157.302,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,86.13624024391174,1.5418517589569092,8248.974,156.023,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,81.47201490402222,1.7610630989074707,8338.048,176.698,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,80.6289746761322,1.880835771560669,8222.336,188.327,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,81.75546431541443,1.812058687210083,8423.18,189.508,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,84.15702486038208,1.5392284393310547,8712.089,158.37,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,83.73223876953125,1.5057854652404785,8098.72,129.951,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,83.74237751960754,1.5416736602783203,8868.053,157.752,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,2,567130,79.8178915977478,1.7597064971923828,8517.845,190.718,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,81.99059391021729,1.8789024353027344,7640.639,200.006,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
