dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,64.88252401351929,1.3571243286132812,5244.706,112.263,0.9859617288828404,0.5,0.00034746351633078526,4.94723770982472e-06,0.0006944444444444445,0.5001712581393104,0.9859617288828404,0.5,0.00034746351633078526,4.94723770982472e-06,0.0006944444444444445,0,0,0
Variant I,0,987231,63.20315957069397,1.342879056930542,5168.916,107.278,0.9400663382274035,0.041695080370189964,0.1487143849895761,0.048666218114895216,0.0651297268507951,0.5500240834373403,0.9400663382274035,0.041695080370189964,0.1487143849895761,0.048666218114895216,0.0651297268507951,0.9973693275256678,0.9746156917709782,0.9486499584049759
Variant II,0,987231,62.59320139884949,1.3574624061584473,5208.907,116.131,0.9859519047851324,0.0,0.0,9.894524370213524e-06,0,0.4999950527378149,0.9859519047851324,0.0,0.0,9.894524370213524e-06,0,0,0.35865137725677876,0
Variant III,0,987231,58.33619236946106,1.5821411609649658,4930.988,135.311,0.8719959283657188,0.02963578912356561,0.33597285067873306,0.12205673165425487,0.054467096616437935,0.6069580595122391,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,59.60799312591553,1.798452615737915,5113.629,152.934,0.9154556589095965,0.03240058910162003,0.23227752639517346,0.0769642707723203,0.05686853766617431,0.5776566278114266,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,60.56069779396057,1.566453218460083,5193.591,136.504,0.9602436360025158,0.03527525387493319,0.09954751131221719,0.030206677265500796,0.05209155485398579,0.5346704170233583,0.9602436360025158,0.03527525387493319,0.09954751131221719,0.030206677265500796,0.05209155485398579,0.9876517606592538,0.9946977724326223,0.9950931866676024
Base,1,79954,63.08205270767212,1.326026201248169,5469.45,112.389,0.8997224539171069,0.04101765316718588,0.27449617790132036,0.09137548050046257,0.07137049417291536,0.5915603487004291,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,62.80926775932312,1.315173625946045,5467.307,113.189,0.8043949075654846,0.031774384261239276,0.4388464211257818,0.19040033245601884,0.05925821662326694,0.6242230443348815,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,63.51375651359558,1.3293724060058594,5560.894,114.445,0.8370567289400517,0.036303429838685175,0.4152189020152884,0.1569370510359567,0.06676910182986451,0.6291409254896658,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,60.158512592315674,1.5798072814941406,5318.051,131.116,0.9547858254162667,0.042160008852495295,0.1436651583710407,0.0362145427160907,0.06518949439644109,0.553725307827475,0.9547858254162667,0.042160008852495295,0.1436651583710407,0.0362145427160907,0.06518949439644109,0.9835071627019938,0.960193893703382,0.9948421868261127
