dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,1174.1913378238678,10.334671020507812,101910.297,898.912,0.9758744652725951,0.0970381917381138,0.08651841556636553,0.011462749773663876,0.09147685525349009,0.5375278328963509,0.9758744652725951,0.0970381917381138,0.08651841556636553,0.011462749773663876,0.09147685525349009,0.8957254178989614,0.8944469479949745,0.9903227678169325
Variant I,0,987231,1159.856688261032,10.335379600524902,101085.109,907.175,0.03179357104531486,0.014123199205166418,0.9878387769284225,0.9818188114697326,0.027848250056323402,0.5030099827293449,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,1169.7258586883545,10.353339195251465,102042.069,907.758,0.017677186478708355,0.014056303549571603,0.9975677553856845,0.9962747115746146,0.02772198833571511,0.500646521905535,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,1108.8397676944733,12.208523511886597,96649.207,1062.952,0.9025787017114105,0.031233171782444804,0.26244343891402716,0.09031880177391013,0.055822906641000966,0.5860623185700585,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,1105.7154667377472,12.012995481491089,96501.298,1057.002,0.6158967526233904,0.01768273766861715,0.6233031674208145,0.3841854238139068,0.03438985572072025,0.6195588718034538,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,1114.6921775341034,11.924785852432251,97148.327,1038.828,0.9280015889304511,0.036809045226130654,0.2209653092006033,0.06415362731152205,0.06310575059228947,0.5784058409445406,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,1163.1291363239288,10.046029329299927,101656.926,884.126,0.014726039090585383,0.014047932835456632,1.0,0.9993024394829148,0.027706644588636236,0.5003487802585427,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,1163.6469190120697,10.071072101593018,101888.124,886.268,0.9490024876835277,0.06217496821911476,0.18693537178596248,0.04014703263214137,0.0933136761772613,0.5733941695769106,0.9490024876835277,0.06217496821911476,0.18693537178596248,0.04014703263214137,0.0933136761772613,0.9592943977969082,0.9933251318852467,0.9799324447530436
Variant II,1,79954,1156.9027845859528,10.119719982147217,100971.772,888.625,0.9518608848348861,0.055675606965806534,0.15218902015288394,0.036753210773158136,0.08152629129827826,0.5577179046898628,0.9518608848348861,0.055675606965806534,0.15218902015288394,0.036753210773158136,0.08152629129827826,0.9655988441944852,0.9633918825836895,0.9944175780289379
Variant III,1,79954,1112.216644525528,11.776944398880005,96928.947,1031.594,0.010973550928531233,0.010973550928531233,1.0,1.0,0.021708878374617314,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,1108.2947824001312,11.785288572311401,96800.535,1034.942,0.8283210301565759,0.024836057551140257,0.38273001508295623,0.16673500125512508,0.046645220588235295,0.6079975069139156,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,1117.9707026481628,12.184081077575684,97761.599,1061.841,0.9236030653116621,0.02912621359223301,0.18438914027149322,0.06819513011463475,0.05030605421531815,0.5580970050784293,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,1162.408844947815,10.214876651763916,101463.069,891.152,0.7892844774182849,0.029893902296840386,0.4454482279360667,0.2058199304418378,0.0560277953805476,0.6198141487471145,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,1169.517118692398,10.075077295303345,102299.917,884.159,0.014038339593190577,0.014038339593190577,1.0,1.0,0.027687985838528436,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,1164.6906616687775,10.059021472930908,101834.232,883.624,0.985849470757524,0.20512820512820512,0.002779708130646282,0.00015336512773830963,0.005485087418580733,0.5013131715014539,0.985849470757524,0.20512820512820512,0.002779708130646282,0.00015336512773830963,0.005485087418580733,0.9173122663116888,0.6695655760757476,0.372383131611168
Variant III,2,567130,1114.682424545288,12.051767826080322,97450.32,1048.999,0.05732563143434076,0.011218491408129064,0.9743589743589743,0.9528491339636851,0.02218159031014739,0.5107549201976446,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,1110.4297380447388,12.033483028411865,97121.226,1058.814,0.959527789731537,0.042602335429231364,0.12518853695324283,0.03121496109112208,0.06357108664432742,0.5469867879310604,0.959527789731537,0.042602335429231364,0.12518853695324283,0.03121496109112208,0.06357108664432742,0.9825019985686263,0.9842776555715026,0.9652001009441494
Variant V,2,567130,1106.5726776123047,12.074759006500244,96821.026,1049.661,0.010973550928531233,0.010973550928531233,1.0,1.0,0.021708878374617314,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,3,500891,1156.911779165268,10.144567728042603,101102.86,895.385,0.5695645599504416,0.020706537606396118,0.640722724113968,0.4314486006738138,0.04011660792759866,0.6046370617200771,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,3,500891,1164.0600409507751,10.0962655544281,102234.349,888.977,0.014077362079898542,0.014038887425488531,1.0,0.9999604219025191,0.02768905137579373,0.5000197890487404,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,3,500891,1165.7768957614899,10.116475582122803,102255.836,884.342,0.9826935271450173,0.11757990867579908,0.035788742182070885,0.003824233669087527,0.05487480021310602,0.5159822542564917,0.9826935271450173,0.11757990867579908,0.035788742182070885,0.003824233669087527,0.05487480021310602,0.95673911691128,0.9615027806451096,0.8332913255103196
Variant III,3,500891,1107.3585138320923,12.180374145507812,97003.302,1069.912,0.010985964447681155,0.010973687150606821,1.0,0.9999874487490586,0.02170914493637469,0.5000062756254706,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,3,500891,1115.2869369983673,11.9149751663208,97864.536,1043.108,0.881599854348042,0.028409503741916732,0.2948717948717949,0.11189021839176638,0.0518258333885612,0.5914907882400143,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,3,500891,1117.6534645557404,11.884472370147705,97938.747,1045.796,0.16627908901320798,0.01176661248262755,0.9034690799396682,0.8419002593925194,0.023230673020520752,0.5307844102735744,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,4,55399,1165.012582540512,9.943581104278564,102196.853,876.472,0.014233382598982493,0.014036268899199391,0.9996525364836693,0.9997971632538972,0.027683825121363314,0.499927686614886,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,4,55399,1169.9327573776245,10.09682846069336,102500.682,887.026,0.9616896736744549,0.07206742346061232,0.14558721334259903,0.02669047948865098,0.09641049240681086,0.5594483669269741,0.9616896736744549,0.07206742346061232,0.14558721334259903,0.02669047948865098,0.09641049240681086,0.9536131804264533,0.9915493714266562,0.9982452703723284
Variant II,4,55399,1169.2848405838013,10.293027877807617,102423.373,902.02,0.8295107555728989,0.033672579238150625,0.40236275191104937,0.1644074169354679,0.062144467103144786,0.6189776674877907,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,4,55399,1120.5395278930664,12.115428447723389,98112.619,1063.132,0.33208232645900226,0.01366212283657528,0.8408748114630468,0.6735628817672161,0.026887392465501547,0.5836559648479154,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,4,55399,1118.187665462494,11.724698543548584,97860.636,1026.215,0.9801011288026747,0.05304600082884376,0.048265460030165915,0.00955986946699021,0.050542941757156956,0.519352795281588,0.9801011288026747,0.05304600082884376,0.048265460030165915,0.00955986946699021,0.050542941757156956,0.9342704593236331,0.9736425612672578,0.869954705756466
Variant V,4,55399,1119.2023718357086,11.93693470954895,97968.16,1044.761,0.8222963355291469,0.024790074535333523,0.3963046757164404,0.17297715672328676,0.04666133901616055,0.6116637594965768,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,5,135049,1170.0506618022919,10.068866491317749,102608.56,879.067,0.02666686177814849,0.014102602112919645,0.9916608756080612,0.987072867864228,0.027809716835889547,0.5022940038719166,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,5,135049,1168.2231259346008,10.003204345703125,102484.463,878.507,0.9546948929320521,0.06287506819421713,0.160180681028492,0.03399263847386856,0.09030362389813908,0.5630940212773117,0.9546948929320521,0.06287506819421713,0.160180681028492,0.03399263847386856,0.09030362389813908,0.9706175052674507,0.9656351306495009,0.9722078105200769
Variant II,5,135049,1172.4944188594818,10.00868535041809,102695.094,877.455,0.3467830837520121,0.018185963054477,0.859277275886032,0.6605139215957889,0.03561809566332042,0.5993816771451215,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,5,135049,1122.3305287361145,11.869318008422852,98253.899,1036.009,0.02422705154093151,0.011055331177627633,0.9939668174962293,0.9865325077399381,0.021867443143403473,0.5037171548781456,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,5,135049,1111.4594688415527,11.923282384872437,97533.022,1056.278,0.7532813068952962,0.02053422651608234,0.46003016591251883,0.24346498200987365,0.03931362281479094,0.6082825919513226,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,5,135049,1114.8222806453705,11.85336422920227,97857.122,1045.506,0.8084345724784004,0.022932971885794236,0.39555052790346906,0.18698435277382647,0.043352481712609005,0.6042830875648213,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,6,733378,1169.2117037773132,10.263329982757568,102446.698,901.864,0.9830155455073143,0.16518847006651885,0.051772063933287,0.0037252699954980137,0.07883597883597883,0.5240233969688944,0.9830155455073143,0.16518847006651885,0.051772063933287,0.0037252699954980137,0.07883597883597883,0.9042576583555615,0.8530795083342286,0.9376209106107182
Variant I,6,733378,1166.9784843921661,10.252733945846558,102369.897,908.097,0.0168333252036486,0.014049162284456402,0.9979152189020153,0.9971355351948232,0.02770823384128546,0.500389841853596,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,6,733378,1170.6869115829468,10.04093623161316,102628.446,874.688,0.9058533730061948,0.04071816097097153,0.2529534398888117,0.08485049373676608,0.0701450113214819,0.5840514730760228,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,6,733378,1120.8917834758759,11.983757257461548,97897.169,1048.24,0.010973550928531233,0.010973550928531233,1.0,1.0,0.021708878374617314,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,6,733378,1110.1684165000916,12.100666046142578,97051.237,1060.697,0.6933405607600384,0.019577523497062026,0.5490196078431373,0.30505815412936155,0.03780688885138206,0.6219807268568879,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,6,733378,1113.990427017212,11.905344486236572,97246.205,1038.156,0.8303071932205635,0.024613325401546697,0.3744343891402715,0.1646347585976069,0.046190343287747695,0.6048998152713323,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,7,732057,1167.1748025417328,10.096345663070679,101734.763,883.163,0.7760803078859183,0.028780445067461014,0.45656706045865186,0.2193704145290477,0.05414760786252936,0.6185983229648021,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,7,732057,1159.5918436050415,10.18143916130066,100966.535,888.228,0.45418272279401006,0.019269776876267748,0.7592077831827658,0.5501602912947975,0.0375855781470396,0.6045237459439841,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,7,732057,1164.167634487152,10.180689811706543,101253.316,888.422,0.9559484903175455,0.06081370449678801,0.1480194579569145,0.03254803791581739,0.08620864110088029,0.5577357100205486,0.9559484903175455,0.06081370449678801,0.1480194579569145,0.03254803791581739,0.08620864110088029,0.9972740754535604,0.9809757960548016,0.9741922788233565
Variant III,7,732057,1118.1613352298737,11.950116157531738,97416.593,1040.148,0.5696770829885134,0.0167650508768751,0.6628959276018099,0.43135720860179066,0.032703021960135054,0.6157693595000095,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,7,732057,1113.5996189117432,12.068236827850342,96906.182,1048.094,0.8382146049190639,0.025639690761902284,0.37141779788838614,0.15660614174546064,0.04796805376317904,0.6074058280714627,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,7,732057,1112.0882461071014,12.063039064407349,96721.083,1052.791,0.9409157866860869,0.03577417551704863,0.1689291101055807,0.05051878503890888,0.05904448105436574,0.559205162533336,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,8,51333,1154.706535577774,10.12392783164978,100453.134,877.399,0.01404314890420514,0.014038339593190577,1.0,0.9999950527622902,0.027687985838528436,0.5000024736188549,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,8,51333,1169.890373468399,10.16396164894104,101663.495,884.958,0.5906004585142188,0.021624939504467817,0.6365531619179986,0.41005382621257397,0.04182887151093099,0.6132496678527124,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,8,51333,1167.0018560886383,11.80194878578186,101133.571,1020.216,0.8771425784108092,0.03847904340270594,0.3231410701876303,0.11496942591969604,0.06876917957629312,0.6040858221339671,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,8,51333,1115.0019180774689,12.171510457992554,96507.892,1061.918,0.9834982952100367,0.0639686684073107,0.03695324283559578,0.005999497949962346,0.04684512428298279,0.5154768724428167,0.9834982952100367,0.0639686684073107,0.03695324283559578,0.005999497949962346,0.04684512428298279,0.9621416690158375,0.9502293235409008,0.8914872911869451
