dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,659.4137012958527,7.478742599487305,144438.841,1639.884,0.9488807917623933,0.12866354044548653,0.4576094510076442,0.04412441313392667,0.2008540491078237,0.7067425189368588,0.9488807917623933,0.12866354044548653,0.4576094510076442,0.04412441313392667,0.2008540491078237,0.9612096694620285,0.9879715504831944,0.8944808389785258
Variant I,0,987231,659.4630398750305,7.185398817062378,145851.766,1599.924,0.9428515682161845,0.11506968641114983,0.4589993050729673,0.05025923653849959,0.1840089148906533,0.7043700342672338,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,657.7410771846771,7.3107569217681885,143759.759,1646.378,0.9604848543973464,0.15230994541339368,0.39749826268241834,0.031499218332574755,0.22023293868514773,0.6829995221749219,0.9604848543973464,0.15230994541339368,0.39749826268241834,0.031499218332574755,0.22023293868514773,0.9707163607300328,0.9707380500045931,0.9485292699278985
Variant III,0,987231,634.6635377407074,8.28525972366333,139424.886,1829.32,0.9499900691846801,0.0920256011070749,0.40120663650075417,0.04392101079407581,0.14971155199099478,0.6786428128533392,0.9499900691846801,0.0920256011070749,0.40120663650075417,0.04392101079407581,0.14971155199099478,0.9930307248060087,0.9902457782031927,0.9953964920859791
Variant IV,0,987231,628.8010778427124,8.497688293457031,138652.763,1899.683,0.9878678539508093,0.25862068965517243,0.05656108597285068,0.0017990126349259475,0.09282178217821782,0.5273810366689624,0.9878678539508093,0.25862068965517243,0.05656108597285068,0.0017990126349259475,0.09282178217821782,0.8398893873755723,0.8947744895335225,0.7833748880343177
Variant V,0,987231,632.3168931007385,8.696670532226562,137755.537,1919.222,0.9529031083451951,0.1001282521069989,0.4121417797888386,0.04109697933227345,0.16111438679245282,0.6855224002282825,0.9529031083451951,0.1001282521069989,0.4121417797888386,0.04109697933227345,0.16111438679245282,0.9796139554134538,0.9996834828028022,0.9798764327424838
Base,1,79954,661.0811834335327,7.364480972290039,145552.048,1605.974,0.954095146114111,0.13644963828603227,0.42599027102154274,0.038385617390529994,0.2066930793222625,0.6938023268155064,0.954095146114111,0.13644963828603227,0.42599027102154274,0.038385617390529994,0.2066930793222625,0.9875341999129844,0.9779733725534205,0.977484100921069
Variant I,1,79954,661.9053492546082,7.238901138305664,145007.743,1596.783,0.9561972586703088,0.13824994071614893,0.40514246004169563,0.03595670156135595,0.20615275813295617,0.6845928792401698,0.9561972586703088,0.13824994071614893,0.40514246004169563,0.03595670156135595,0.20615275813295617,0.9809866255238566,0.977288875915345,0.9315883851768051
Variant II,1,79954,664.21506690979,7.210409879684448,143960.139,1585.739,0.9428418125945076,0.12344522065087749,0.5034746351633078,0.05090238062256347,0.19827586206896552,0.7262861272703722,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,634.6443276405334,8.519952297210693,139354.71,1836.581,0.9421323115627793,0.08659808856788502,0.4475867269984917,0.052380553928541546,0.14511889479797052,0.697603086534975,0.9890264490714687,0,0.0,0.0,0,0,0,0
