dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,354.69447326660156,3.8636128902435303,42538.49,409.283,0.9342181639034003,0.11182669789227166,0.5309242529534399,0.06003967684643279,0.18474186918147747,0.7354422880535035,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,351.0150773525238,3.7509713172912598,42806.561,408.421,0.9568167406467977,0.13464595817536995,0.3825573314801946,0.035006827221815445,0.1991858887381276,0.6737752521291895,0.9568167406467977,0.13464595817536995,0.3825573314801946,0.035006827221815445,0.1991858887381276,0.9836078469721937,0.9987852808773506,0.975771476101104
Variant II,0,987231,359.8006010055542,3.7200727462768555,43044.033,395.468,0.9614701721867226,0.1568010936431989,0.3985406532314107,0.03051471315773851,0.22505641126263123,0.6840129700368361,0.9614701721867226,0.1568010936431989,0.3985406532314107,0.03051471315773851,0.22505641126263123,0.9760779826558175,0.9575505074507071,0.9731132826967269
Variant III,0,987231,335.8342225551605,4.28077507019043,40478.826,462.225,0.958559535237843,0.10596168254308039,0.3733031674208145,0.034946866371014976,0.16506877865777408,0.6691781505248997,0.958559535237843,0.10596168254308039,0.3733031674208145,0.034946866371014976,0.16506877865777408,0.9783115735939679,0.9832867021810553,0.9859573568462915
Variant IV,0,987231,338.3812155723572,4.359466075897217,40328.678,467.416,0.9644518189943394,0.1016767270288397,0.28582202111613875,0.02801857585139319,0.14999505293361037,0.6289017226323727,0.9644518189943394,0.1016767270288397,0.28582202111613875,0.02801857585139319,0.14999505293361037,0.9774275159389229,0.9675134259653908,0.9508310764442823
Variant V,0,987231,336.3930356502533,4.350692272186279,40400.872,470.702,0.9631194346055811,0.11659522351500307,0.358974358974359,0.030177391013304328,0.1760192289914024,0.6643984839805274,0.9631194346055811,0.11659522351500307,0.358974358974359,0.030177391013304328,0.1760192289914024,0.9634759601736361,0.9971118722381886,0.9597763203223935
Base,1,79954,365.1702654361725,3.7149150371551514,43174.043,392.268,0.951466018896547,0.1347107438016529,0.453092425295344,0.04143806305749185,0.20767638158942509,0.7058271811189261,0.951466018896547,0.1347107438016529,0.453092425295344,0.04143806305749185,0.20767638158942509,0.9884606845555779,0.9919164039209795,0.9887330621603071
Variant I,1,79954,366.7609384059906,3.7502329349517822,43283.601,399.291,0.9699917077215745,0.171285140562249,0.29638637943015983,0.020417351037935606,0.2171035886994146,0.637984514196112,0.9699917077215745,0.171285140562249,0.29638637943015983,0.020417351037935606,0.2171035886994146,0.9642213121131701,0.967547824370853,0.9962073853742859
Variant II,1,79954,362.9646463394165,3.6903624534606934,42962.823,390.338,0.9453636407980098,0.12363208826987429,0.47498262682418346,0.04793897057368452,0.19619662719770364,0.7135218281252494,0.9453636407980098,0.12363208826987429,0.47498262682418346,0.04793897057368452,0.19619662719770364,0.9777203312748336,0.973736399574415,0.9776726160122388
Variant III,1,79954,347.4614453315735,4.354510545730591,41321.917,470.43,0.9713744248402794,0.12059765208110992,0.25565610859728505,0.020684461551334618,0.163886874546773,0.6174858235229752,0.9713744248402794,0.12059765208110992,0.25565610859728505,0.020684461551334618,0.163886874546773,0.9737076131894921,0.9718848637424397,0.8866440082392704
Variant IV,1,79954,348.3341393470764,4.576436519622803,41338.449,485.878,0.9211534641994108,0.06511479930006893,0.46304675716440424,0.07376370178227763,0.11417414346148481,0.6946415276910634,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,349.69863200187683,4.39470362663269,41503.95,468.457,0.9487114767122381,0.09769592864811297,0.44607843137254904,0.045711655928374194,0.16028724341169295,0.7001833877220874,0.9487114767122381,0.09769592864811297,0.44607843137254904,0.045711655928374194,0.16028724341169295,0.9795333144468903,0.979065527900946,0.992648939112543
