dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,338.0994920730591,3.4624907970428467,2677.101,23.917,0.9706942554301964,0.17286789297658864,0.28735232800555943,0.019576219617776416,0.21587052988775776,0.6338880541938915,0.9706942554301964,0.17286789297658864,0.28735232800555943,0.019576219617776416,0.21587052988775776,0.9415825221422354,0.9493249642352043,0.9942848815197847
Variant I,0,987231,339.4732942581177,3.4533092975616455,2745.618,25.011,0.9360177552314521,0.1083314207023181,0.49200833912439196,0.05766034076741931,0.1775659915982193,0.7171739991784863,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,340.88235116004944,3.4495673179626465,2741.829,31.311,0.9329642456465538,0.10727969348659004,0.5156358582348853,0.061093740723883405,0.17760756388007898,0.727271058755501,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,323.3189079761505,4.051987409591675,2587.946,33.545,0.940154424178225,0.08373863396066822,0.4479638009049774,0.05438457032884277,0.14110101549973278,0.6967896152880673,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,324.1414225101471,4.166846990585327,2614.131,35.959,0.9032904101426728,0.05866064582090824,0.5192307692307693,0.0924483306836248,0.10541223302457323,0.7133912192735722,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,324.0968849658966,4.074306488037109,2658.282,29.701,0.9081399582905757,0.06763691055471999,0.5765460030165912,0.0881809053635679,0.12107055190434714,0.7441825488265116,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,340.6422049999237,3.4560329914093018,2752.116,31.245,0.9734941051943554,0.19425837320574163,0.28214037526059765,0.016662296606689653,0.2300935109096061,0.6327390393269541,0.9734941051943554,0.19425837320574163,0.28214037526059765,0.016662296606689653,0.2300935109096061,0.9155792288457627,0.9793981764001861,0.9662762715475534
Variant I,1,79954,339.819233417511,3.6013290882110596,2744.605,31.747,0.9518755182674016,0.12251512532411409,0.3940236275191105,0.04018166346743712,0.186912806988627,0.6769209820258367,0.9518755182674016,0.12251512532411409,0.3940236275191105,0.04018166346743712,0.186912806988627,0.9329785270502675,0.9905941873759369,0.9390178575616712
Variant II,1,79954,339.3339087963104,3.46891713142395,2741.879,31.243,0.9211794546607482,0.10037912980682434,0.5795691452397498,0.07395662240516099,0.1711208002051808,0.7528062614172945,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,323.7569444179535,3.934202194213867,2625.187,34.752,0.9330125128273031,0.07678359282185956,0.46304675716440424,0.061773073382980506,0.13172432287476535,0.7006368418907118,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,323.06202483177185,4.008862495422363,2628.813,29.165,0.9421323115627793,0.07772561293688054,0.39328808446455504,0.051778093883357044,0.1297990168626719,0.6707549952905989,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,323.5474500656128,4.192724704742432,2656.582,30.811,0.9425129928167103,0.08869374313940724,0.45701357466063347,0.0521002426575182,0.1485567199852914,0.7024566660015575,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,338.98054122924805,3.4579198360443115,2750.671,27.018,0.9399446858949032,0.1185508652757561,0.5093815149409312,0.05392489103708944,0.19233796903699815,0.7277283119519209,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,339.21443700790405,3.4814488887786865,2736.439,31.373,0.9417296717233306,0.11399625404392985,0.46525364836692146,0.05148615756040607,0.18312363238512036,0.7068837454032576,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,339.69660544395447,3.5676236152648926,2764.967,31.567,0.9632603287644506,0.15546342907906427,0.3648366921473245,0.02821918350384897,0.2180232558139535,0.6683087543217378,0.9632603287644506,0.15546342907906427,0.3648366921473245,0.02821918350384897,0.2180232558139535,0.9883797613534095,0.9826972407858988,0.9991418309684704
Variant III,2,567130,323.2364773750305,4.063146591186523,2592.353,33.212,0.9393640967923467,0.08297428769979152,0.4502262443438914,0.055208769140657685,0.14012439854477174,0.6975087376016169,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,323.1554398536682,4.055936098098755,2633.361,28.749,0.9357683140785858,0.07780620612740274,0.44720965309200605,0.05881097816082336,0.132550991897178,0.6941993374655914,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,2,567130,323.2270803451538,4.210001230239868,2678.728,35.254,0.9529320732232116,0.09805547875771818,0.40120663650075417,0.04094636432097733,0.15759460860549507,0.6801301360898884,0.9529320732232116,0.09805547875771818,0.40120663650075417,0.04094636432097733,0.15759460860549507,0.9608430021883138,0.960697395500583,0.9862389282172292
Base,3,500891,339.7144207954407,3.471132278442383,2818.308,26.067,0.8905863587807483,0.079848725772487,0.645587213342599,0.10592530660505707,0.14211955482464525,0.769830953368771,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,3,500891,339.46794629096985,3.500986337661743,2806.71,28.202,0.9108970294131994,0.08722708009226973,0.5649756775538568,0.08417766607959155,0.15112226404572704,0.7403990057371326,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,3,500891,339.08311915397644,3.6225972175598145,2756.282,32.278,0.9081703331544803,0.08481724461105905,0.5660180681028492,0.08695802742762156,0.14752762180764356,0.7395300203376138,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,3,500891,323.88753843307495,3.926206350326538,2655.011,35.208,0.9350648813267569,0.07989175955157528,0.4675716440422323,0.059748138231110366,0.13646618610025862,0.7039117529055611,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,3,500891,323.21596240997314,3.9933602809906006,2641.687,36.237,0.9466342811744844,0.08545763534838553,0.39819004524886875,0.047280562296042175,0.14071557065760545,0.6754547414764133,0.9466342811744844,0.08545763534838553,0.39819004524886875,0.047280562296042175,0.14071557065760545,0.9734402561935157,0.9849904478807654,0.9930837519298291
Variant V,3,500891,321.94516134262085,3.8608644008636475,2620.177,27.602,0.9519679565692344,0.09635839192356228,0.4030920060331825,0.04194209689565727,0.15553615597264658,0.6805749545687626,0.9519679565692344,0.09635839192356228,0.4030920060331825,0.04194209689565727,0.15553615597264658,0.9923041089050729,0.9846106684653539,0.9768545692024727
Base,4,55399,340.90557193756104,3.4337289333343506,2767.41,31.006,0.9272819507245953,0.10218253968253968,0.5368311327310632,0.06715875191087056,0.17168574286031782,0.7348361904100964,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,4,55399,340.19406604766846,3.483966588973999,2774.741,28.501,0.9096092873518365,0.08723168609250567,0.5747046560111189,0.08562226663764273,0.15147213700261,0.7445411946867381,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,4,55399,340.2140371799469,3.470306396484375,2816.335,24.63,0.9591727232817912,0.1442083441306038,0.38672689367616403,0.032676666732630165,0.21007927519818803,0.677025113471767,0.9591727232817912,0.1442083441306038,0.38672689367616403,0.032676666732630165,0.21007927519818803,0.9750749689257175,0.9901927223894633,0.9967102154353303
